YEAR,MONTH,MONTH INDEX,RAINFALL,FLOOD
1965,Jan ,1,0,0
1965,Feb,2,11,0
1965,Mar,3,0,0
1965,Apr,4,24,0
1965,May,5,0,0
1965,June,6,25,0
1965,July,7,43,0
1965,August,8,186,0
1965,Sep,9,95,0
1965,Oct,10,59,0
1965,Nov ,11,422,0
1965,Dec,12,285,0
1966,Jan ,1,1,0
1966,Feb,2,0,0
1966,Mar,3,0,0
1966,Apr,4,76,0
1966,May,5,5,0
1966,June,6,90,0
1966,July,7,153,0
1966,August,8,239,0
1966,Sep,9,203,0
1966,Oct,10,310,0
1966,Nov ,11,492,0
1966,Dec,12,150,0
1967,Jan ,1,30,0
1967,Feb,2,0,0
1967,Mar,3,97,0
1967,Apr,4,0,0
1967,May,5,52,0
1967,June,6,97,0
1967,July,7,106,0
1967,August,8,223,0
1967,Sep,9,79,0
1967,Oct,10,137,0
1967,Nov ,11,122,0
1967,Dec,12,372,0
1968,Jan ,1,0,0
1968,Feb,2,0,0
1968,Mar,3,0,0
1968,Apr,4,68,0
1968,May,5,0,0
1968,June,6,80,0
1968,July,7,22,0
1968,August,8,14,0
1968,Sep,9,151,0
1968,Oct,10,131,0
1968,Nov ,11,140,0
1968,Dec,12,185,0
1969,Jan ,1,0,0
1969,Feb,2,0,0
1969,Mar,3,0,0
1969,Apr,4,0,0
1969,May,5,15,0
1969,June,6,49,0
1969,July,7,117,0
1969,August,8,119,0
1969,Sep,9,10,0
1969,Oct,10,656,0
1969,Nov ,11,420,0
1969,Dec,12,177,0
1970,Jan ,1,0,0
1970,Feb,2,19,0
1970,Mar,3,0,0
1970,Apr,4,5,0
1970,May,5,66,0
1970,June,6,86,0
1970,July,7,495,0
1970,August,8,145,0
1970,Sep,9,168,0
1970,Oct,10,171,0
1970,Nov ,11,443,0
1970,Dec,12,7,0
1971,Jan ,1,14,0
1971,Feb,2,0,0
1971,Mar,3,49,0
1971,Apr,4,26,0
1971,May,5,45,0
1971,June,6,31,0
1971,July,7,156,0
1971,August,8,44,0
1971,Sep,9,101,0
1971,Oct,10,497,0
1971,Nov ,11,266,0
1971,Dec,12,110,0
1972,Jan ,1,34,0
1972,Feb,2,0,0
1972,Mar,3,0,0
1972,Apr,4,0,0
1972,May,5,65,0
1972,June,6,127,0
1972,July,7,51,0
1972,August,8,58,0
1972,Sep,9,111,0
1972,Oct,10,506,0
1972,Nov ,11,156,0
1972,Dec,12,377,0
1973,Jan ,1,0,0
1973,Feb,2,0,0
1973,Mar,3,0,0
1973,Apr,4,0,0
1973,May,5,9,0
1973,June,6,29,0
1973,July,7,73,0
1973,August,8,194,0
1973,Sep,9,155,0
1973,Oct,10,261,0
1973,Nov ,11,66,0
1973,Dec,12,243,0
1974,Jan ,1,8,0
1974,Feb,2,0,0
1974,Mar,3,0,0
1974,Apr,4,0,0
1974,May,5,26,0
1974,June,6,119,0
1974,July,7,112,0
1974,August,8,138,0
1974,Sep,9,253,0
1974,Oct,10,109,0
1974,Nov ,11,217,0
1974,Dec,12,1,0
1975,Jan ,1,0,0
1975,Feb,2,0,0
1975,Mar,3,0,0
1975,Apr,4,0,0
1975,May,5,7,0
1975,June,6,48,0
1975,July,7,158,0
1975,August,8,295,0
1975,Sep,9,231,0
1975,Oct,10,300,0
1975,Nov ,11,468,0
1975,Dec,12,1,0
1976,Jan ,1,0,0
1976,Feb,2,0,0
1976,Mar,3,0,0
1976,Apr,4,2,0
1976,May,5,5,0
1976,June,6,109,0
1976,July,7,177,0
1976,August,8,197,0
1976,Sep,9,9,0
1976,Oct,10,263,0
